title,url
"The power of vulnerability"                 ,"https://www.youtube.com/watch?v=iCvmsMzlF7o"
"How to speak so that people want to listen" ,"https://www.youtube.com/watch?v=eIho2S0ZahI"
"There's more to life than being happy"      ,"https://www.youtube.com/watch?v=y9Trdafp83U"
"Does money make you mean?"                  ,"https://www.youtube.com/watch?v=bJ8Kq1wucsk"
"The power of introverts"                    ,"https://www.youtube.com/watch?v=c0KYU2j0TM4"
"Are you a giver or a taker?"                ,"https://www.youtube.com/watch?v=YyXRYgjQXX0"
"Grit: the power of passion and perseverance","https://www.youtube.com/watch?v=H14bBuluwB8"
"How language shapes the way we think"       ,"https://www.youtube.com/watch?v=RKK7wGAYP6k"
"How to find work you love"                  ,"https://www.youtube.com/watch?v=bvAEJ8G9l9U"
"10 ways to have a better conversation"      ,"https://www.youtube.com/watch?v=R1vskiVDwl4"
"Sleep is your superpower"                   ,"https://www.youtube.com/watch?v=5MuIMqhT8DM"
"What makes a good life?"                    ,"https://www.youtube.com/watch?v=8KkKuTCFvzI"
"How to make stress your friend"             ,"https://www.youtube.com/watch?v=RcGyVTAoXEU"
"My stroke of insight"                       ,"https://www.youtube.com/watch?v=UyyjU8fzEYU"
"The puzzle of motivation"                   ,"https://www.youtube.com/watch?v=rrkrvAUbU9Y"
"10 things you didn't know about orgasm"     ,"https://www.youtube.com/watch?v=7jx0dTYUO5E"
"Why we laugh"                               ,"https://www.youtube.com/watch?v=UxLRv0FEndM"
"Overcoming hopelessness"                    ,"https://www.youtube.com/watch?v=6P2nPI6CTlc"
"How to spot a liar"                         ,"https://www.youtube.com/watch?v=P_6vDLq64gE"
"The art of misdirection"                    ,"https://www.youtube.com/watch?v=GZGY0wPAnus"
